ID,Handle,Title,Category,Manufacturer,PartNumber,SLCAddress,SerialNumber,StrobeAddress,SpeakerAddress,RoomNameNumber
209,AN,Annunciator,Annunciator,Edwards,4-6ANN,MAC ADDRESS,N/A,N/A,N/A,
210,APS,APS (Auxiliary Power Supply),APS,Edwards,APS10A,N/A,N/A,N/A,N/A,
221,BDE,Beam Detector (Emitter),Beam Detector (E),Xtralis,OSE-SPW,N/A,N/A,,N/A,
220,BDT,Beam Detector (Transmitter),Beam Detector (T),Xtralis,OSI-90,N/A,N/A,,N/A,
234,BEL,Bell,Bell,Edwards,323D-10AW-R,N/A,N/A,,N/A,
217,OM,Output Module,CC1S,Edwards,SIGA-CC1S,,,N/A,N/A,
211,DOC,DOC (Document Storage Cabinet),Document Storage Cabinet,Space Age,SSU00625,N/A,N/A,N/A,N/A,
226,DD,Duct Detector,Duct Detector,Edwards,SIGA-SD,,,N/A,N/A,
214,FAEC,FAEC (Fire Alarm Elevator Interface Cabinet),Elevator Cabinet,Space Age,SSU00655,N/A,N/A,N/A,N/A,
212,FACP,FACP (Fire Alarm Control Panel),FACP,Edwards,EST4,MAC Address,N/A,N/A,N/A,
213,FATC,FATC (Fire Alarm Terminal Cabinet),FATC,Space Age,SSU00645,N/A,N/A,N/A,N/A,
223,HD,Heat Detector,Heat Detector,Edwards,SIGA-HRD,,,N/A,N/A,
224,HDC,Heat Detector (Conventional),Heat Detector - Conventional,Edwards,302-AW-135,N/A,N/A,N/A,N/A,
229,ISO,Iso Module,Iso Module,Edwards,SIGA-IM2,,,N/A,N/A,
237,UIOOM,Output Module (UIO),MCC1S,Edwards,SIGA-MCC1S,,,N/A,N/A,
238,UIOPRM,Polarity Reversal Module (UIO),MCRR,Edwards,SIGA-MCRR,,,N/A,N/A,
215,MFCA,MFC-A (Multifunction Cabinet),MFCA Cabinet,Edwards,MFC-A,N/A,N/A,N/A,N/A,
228,MMOD,Monitor Module,Monitor Module,Edwards,SIGA-CT1,,,N/A,N/A,
230,SSUMR,MR201,MR201,Space Age,SSU-MR-201/C/R,N/A,N/A,,N/A,
239,UIOPM,Power Monitor (UIO),MRM1,Edwards,SIGA-MRM1,,,N/A,N/A,
236,PF,Power Filter,Power Filter,Eaton,ADPH12015,N/A,N/A,N/A,N/A,
225,PS,Pull Station,Pull Station,Edwards,SIGA-278,,,N/A,N/A,
227,PM,Power Monitor,Riser Monitor Module,Edwards,SIGA-RM1,,,N/A,N/A,
218,SD,Smoke Detector,Smoke Detector,Edwards,SIGA-OSD,,,N/A,N/A,
219,SDSB,Smoke Detector with Sounder Base,Smoke Detector - Sounder Base,Edwards,SIGA-OSD W/ SIGA-AB4G-LF,,,,N/A,
242,SPC,Speaker - Ceiling,Speaker,Edwards,GCSWN,N/A,N/A,N/A,,
231,SSC,Speaker/Strobe - Ceiling,Speaker Strobe,Edwards,GCSVWN,N/A,N/A,,,
243,SSWW,Speaker Strobe - Wall - WP,Speaker Strobe - WP,Edwards,WG4SVWN,N/A,N/A,,,
232,SSCH,Speaker/Strobe - Ceiling - High CD,Speaker Strobe High Candela,Edwards,GCSVWNH,N/A,N/A,,,
233,STC,Strobe - Ceiling,Strobe,Edwards,GCVWN,N/A,N/A,,N/A,
235,SUP,Surge Protection,Surge Protection,Space Age,E120T-GV,N/A,N/A,N/A,N/A,
222,RTS,Remote Test Station,Test Station,Edwards,SIGA-TRK,N/A,N/A,N/A,N/A,
216,UIO6R,UIO6R (Universal Input-Output Motherboard),UIO6R,Edwards,SIGA-UIO6R,N/A,N/A,N/A,N/A,
