Count,Name,1A1-1,S1-1,S1-1B,Visibility,WATT,WATTB,ADDRESS1,ADDRESS2,DESC2,DESCBRD1,DESCBRD2,DESCBRD3,DESCBRD4,DESCBRD5,DEVICEA,DEVICEB,DEVICEC,DEVICED,DEVICEE,DEVICEE(1),DEVICEF,DEVICEH,DEVICEJ,DEVICEY,BPS,DESC1,Visibility1,Position X1,Position Y1,Position1 X,Position1 Y,Subject,Position2 X,Position2 Y
1,FPS SENSOR 4-21,,,,Smoke,,,0020060013,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-3'-10 7/8""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060015,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 3/8""","-0'-8 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060004,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-5'-2""","-0'-9 3/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060023,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-11 1/4""","0'-6 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060025,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060003,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-11 1/2""","-0'-6 5/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060002,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-8 1/2""","0'-11 5/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060063,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-1'-0 1/8""","-1'-4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060058,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-11 7/8""","-1'-5""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060051,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-0 3/4""","1'-7 1/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060066,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-7 3/4""","-1'-0 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060005,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-2'-10 1/4""","1'-4 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060008,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-2'-8 1/2""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060010,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060027,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1E2-9 EOL,1S7-19 EOL,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-5 1/2""","-1'-9 3/4""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060028,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-4'-11 1/2""","-1'-1 1/8""",,,,,
1,FPS SENSOR 4-21,,,,Beam Smoke Reflector,,,,,,,,,,,,,,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""","1'-1 7/8""","-0'-7 1/4""",,,
1,FPS CAV 4-22,1E2-8,1S7-18,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-3 7/8""","1'-3 5/8""",,,,,
1,FPS CAV 4-22,1E1-4,1S7-28,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-0'-6 5/8""","4'-5 1/4""",,,,,
1,FPS CAV 4-22,1E2-3,1S7-22,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-11 1/8""","1'-10 5/8""",,,,,
1,FPS CAV 4-22,1E2-5,1S7-20,,SV - 15cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"4'-0""","-0'-9""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060030,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-7 7/8""","-1'-1""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060031,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-4'-4 1/2""","-1'-5""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060026,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060029,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-3'-4 3/8""","-1'-5 3/8""",,,,,
1,FPS SENSOR 4-21,,,,Beam Smoke Transmitter,,,1D4-1,,,,,,,,,,,,,,,,,,,,,"-2'-6 3/8""","0'-9 3/8""","1'-1 7/8""","-0'-7 1/4""",,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060040,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-7""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0020060032,,,,,,,,SIGA-PS,,,,,,,,,,,,,"0'-3 1/2""","1'-6 5/8""",,,,,
1,FPS CAV 4-22,1G1-5,1S9-13,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-4 1/4""","-0'-1 1/2""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0010060005,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-5'-3""","-0'-9 1/2""",,,,,
1,FPS CAV 4-22,1G2-3 EOL,1S9-4,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-11""","2'-5 5/8""",,,,,
1,FPS CAV 4-22,1H1-1,1S9-2,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-5 3/8""","1'-2 5/8""",,,,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0020060034,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-0'-7 7/8""","-2'-0 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0020060017,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"-4'-0 3/4""","-1'-7 7/8""",,,,,
1,FPS SENSOR 4-21,,,,Heat,,,0020060018,,,,,,,,,,,,,,SIGA-HRS,,,,,,,"0'-9 1/4""","-1'-7 7/8""",,,,,
1,FPS CAV 4-22,1H1-2,1S9-3,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-2'-8 5/8""","1'-6""",,,,,
1,FPS CAV 4-22,1G1-1,1S9-1,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-2 3/4""","2'-5 1/4""",,,,,
1,FPS CAV 4-22,1G1-2,1S9-11,,SV - 75cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"1'-10""","-1'-9""",,,,,
1,FPS CAV 4-22,1H1-7,1S9-9,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-8 1/2""","-0'-10 1/8""",,,,,
1,FPS CAV 4-22,1H1-4,1S9-6,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"0'-3 3/8""","3'-5 3/8""","2'-0""","1'-1""",,,
1,FPS CAV 4-22,1H1-8 EOL,1S9-10,,SV - 30cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"-3'-6""","0'-0 1/4""",,,,,
1,FPS CAV 4-22,1H1-5,1S9-7,,SV - 177cd,1/4w,,,,,,,,,,,,,,,,,,,,,,,"2'-5 1/4""","2'-6 3/8""","2'-0""","1'-1""",,,
1,FPS SENSOR 4-21,,,,Smoke w/ Sounder Base,,,0020060035,,,,,,,,,,SIGA-PS W SOUNDER BASE,,,,,,,,,,,"-0'-7 5/8""","-1'-9""",,,,,
1,FPS SENSOR 4-21,,,,Smoke,,,0030060016,,,,,,,,SIGA-PS,,,,,,,,,,,,,"-0'-7 1/8""","1'-4 5/8""",,,,,
